epoch,phase,loss,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,lr
1,train,0.287076,0.918879,0.792366,0.93787,0.800018,0.854082,0.0001
1,val,0.133891,0.959938,0.893145,0.961,0.90139,0.902456,0.0001
2,train,0.0313,0.994748,0.980348,0.994775,0.967981,0.995254,9.831e-05
2,val,0.144438,0.959938,0.924483,0.960526,0.928878,0.935556,9.831e-05
3,train,0.021294,0.995331,0.994822,0.995333,0.994414,0.995235,9.337e-05
3,val,0.075624,0.986133,0.948227,0.986461,0.947084,0.958889,9.337e-05
4,train,0.012808,0.998249,0.997643,0.99825,0.99761,0.997678,8.55e-05
4,val,0.105527,0.978428,0.948812,0.978575,0.949583,0.957778,8.55e-05
5,train,0.009266,0.998541,0.998851,0.998541,0.998828,0.998874,7.525e-05
5,val,0.106987,0.979969,0.927341,0.980365,0.932221,0.941111,7.525e-05
6,train,0.008281,0.998833,0.998819,0.998833,0.9982,0.999444,6.331e-05
6,val,0.069853,0.989214,0.958047,0.989482,0.958623,0.965556,6.331e-05
7,train,0.009719,0.999125,0.999057,0.999124,0.999412,0.998706,5.05e-05
7,val,0.098327,0.984592,0.943681,0.984941,0.947885,0.953333,5.05e-05
8,train,0.004869,0.999125,0.9991,0.999125,0.998666,0.999537,3.769e-05
8,val,0.077907,0.986133,0.9455,0.986638,0.94924,0.954444,3.769e-05
9,train,0.003865,0.999708,0.999358,0.999708,0.999736,0.998984,2.575e-05
9,val,0.097109,0.987673,0.954212,0.987796,0.953246,0.964444,2.575e-05
10,train,0.005053,0.999125,0.999345,0.999125,0.999278,0.999411,1.55e-05
10,val,0.064235,0.990755,0.958754,0.990872,0.96,0.966667,1.55e-05
11,train,0.003739,0.999416,0.999196,0.999416,0.999551,0.998845,7.63e-06
11,val,0.107033,0.986133,0.944928,0.98648,0.94924,0.954444,7.63e-06
12,train,0.002204,1.0,1.0,1.0,1.0,1.0,2.69e-06
12,val,0.071387,0.986133,0.948227,0.986461,0.947084,0.958889,2.69e-06
